Rank,City,Population,Land Mass
1,"New York City, NY",123706,
2,"Philadelphia, PA",63802,
3,"Baltimore, MD",62738,
4,"Boston, MA",43298,
5,"New Orleans, LA",27176,
6,"Charleston, SC",24780,
7,"Northern Liberties, PA",19678,
8,"Southwark, PA",14713,
9,"Washington, DC",13247,
10,"Salem, MA",12731,
11,"Albany, NY",12630,
12,"Richmond, VA",12067,
13,"Providence, RI",11767,
14,"Cincinnati, OH",9642,
15,"Portland, ME",8581,
16,"Norfolk, VA",8478,
17,"Alexandria, DC",8218,
18,"Savannah, GA",7523,
19,"Georgetown, DC",7360,
20,"Portsmouth, NH",7327,
21,"Newport, RI",7319,
22,"Nantucket, MA",7266,
23,"Pittsburgh, PA",7248,
24,"Brooklyn, NY",7175,
25,"New Haven, CT",7147,
