Rank,City,Population,Land Mass
1,"New York City, NY",7322564,308.9
2,"Los Angeles, CA",3485398,469.3
3,"Chicago, IL",2783726,227.2
4,"Houston, TX",1630553,539.9
5,"Philadelphia, PA",1585577,135.1
6,"San Diego, CA",1110549,324
7,"Detroit, MI",1027974,138.7
8,"Dallas, TX",1006877,342.4
9,"Phoenix, AZ",983403,419.9
10,"San Antonio, TX",935933,333
11,"San Jose, CA",782248,171.3
12,"Baltimore, MD",736014,80.8
13,"Indianapolis, IN",731327,361.7
14,"San Francisco, CA",723959,46.7
15,"Jacksonville, FL",635230,758.7
16,"Columbus, OH",632910,190.9
17,"Milwaukee, WI",628088,96.1
18,"Memphis, TN",610337,256
19,"Washington, DC",606900,61.4
20,"Boston, MA",574283,48.4
21,"Seattle, WA",516259,83.9
22,"El Paso, TX",515342,245.4
23,"Cleveland, OH",505616,77
24,"New Orleans, LA",496938,180.6
25,"Nashville, TN",488374,473.3
