Rank,City,Population,Land Mass
1,"New York City, NY",7894862,299.7
2,"Chicago, IL",3366957,222.6
3,"Los Angeles, CA",2816061,463.7
4,"Philadelphia, PA",1948609,128.5
5,"Detroit, MI",1511482,138
6,"Houston, TX",1232802,433.9
7,"Baltimore, MD",905759,78.3
8,"Dallas, TX",844401,265.6
9,"Washington, DC",756510,61.4
10,"Cleveland, OH",750903,75.9
11,"Indianapolis, IN",744624,379.4
12,"Milwaukee, WI",717099,95
13,"San Francisco, CA",715674,45.4
14,"San Diego, CA",696769,316.9
15,"San Antonio, TX",654153,184
16,"Boston, MA",641071,46
17,"Memphis, TN",623530,217.4
18,"St. Louis, MO",622236,61.2
19,"New Orleans, LA",593471,197.1
20,"Phoenix, AZ",581562,247.9
21,"Columbus, OH",539677,134.6
22,"Seattle, WA",530831,83.6
23,"Jacksonville, FL",528865,766
24,"Pittsburgh, PA",520117,55.2
25,"Denver, CO",514678,95.2
