Rank,City,Population,Land Mass
1,"New York City, NY",515547,
2,"Baltimore, MD",169054,
3,"Boston, MA",136881,
4,"Philadelphia, PA",121376,
5,"New Orleans, LA",116375,
6,"Cincinnati, OH",115435,
7,"Brooklyn, NY",96838,
8,"St. Louis, MO",77860,
9,"Spring Garden, PA",58894,
10,"Albany, NY",50763,
11,"Northern Liberties, PA",47223,
12,"Kensington, PA",46774,
13,"Pittsburgh, PA",46601,
14,"Louisville, KY",43194,
15,"Charleston, SC",42985,
16,"Buffalo, NY",42261,
17,"Providence, RI",41513,
18,"Washington, DC",40001,
19,"Newark, NJ",38894,
20,"Southwark, PA",38799,
21,"Rochester, NY",36403,
22,"Lowell, MA",33383,
23,"Williamsburgh, NY",30780,
24,"Chicago, IL",29963,
25,"Troy, NY",28785,
