Rank,City,Population,Land Mass
1,"New York City, NY",5620048,299
2,"Chicago, IL",2701705,192.8
3,"Philadelphia, PA",1823779,128
4,"Detroit, MI",993078,77.9
5,"Cleveland, OH",796841,56.4
6,"St. Louis, MO",772897,61
7,"Boston, MA",748060,43.5
8,"Baltimore, MD",733826,79
9,"Pittsburgh, PA",588343,39.9
10,"Los Angeles, CA",576673,365.7
11,"Buffalo, NY",506775,38.9
12,"San Francisco, CA",506676,42
13,"Milwaukee, WI",457147,25.3
14,"Washington, DC",437571,60
15,"Newark, NJ",414524,23.3
16,"Cincinnati, OH",401247,71.1
17,"New Orleans, LA",387219,178
18,"Minneapolis, MN",380585,49.7
19,"Kansas City, MO",324410,58.4
20,"Seattle, WA",315312,58.6
21,"Indianapolis, IN",314194,43.6
22,"Jersey City, NJ",298103,13
23,"Rochester, NY",295750,29.5
24,"Portland, OR",258288,63.2
25,"Denver, CO",256491,57.9
