Rank,City,Population,Land Mass
1,"New York City, NY",60515,
2,"Philadelphia, PA",41220,
3,"Baltimore, MD",26514,
4,"Boston, MA",24937,
5,"Charleston, SC",18824,
6,"Northern Liberties, PA",10718,
7,"Southwark, PA",9621,
8,"Salem, MA",9457,
9,"Providence, RI",7614,
10,"Norfolk, VA",6926,
11,"Newport, RI",6739,
12,"Newburyport, MA",5946,
13,"Richmond, VA",5737,
14,"Nantucket, MA",5617,
15,"Portsmouth, NH",5339,
16,"Gloucester, MA",5313,
17,"Albany, NY",5289,
18,"Schenectady, NY",5289,
19,"Marblehead, MA",5211,
20,"New London, CT",5150,
21,"Savannah, GA",5146,
22,"Alexandria, DC",4971,
23,"Middleborough, MA",4458,
24,"New Bedford, MA",4361,
25,"Lancaster, PA",4292,
