Rank,City,Population,Land Mass
1,"New York City, NY",813669,
2,"Philadelphia, PA",565529,
3,"Brooklyn, NY",266661,
4,"Baltimore, MD",212418,
5,"Boston, MA",177840,
6,"New Orleans, LA",168675,
7,"Cincinnati, OH",161044,
8,"St. Louis, MO",160773,
9,"Chicago, IL",112172,
10,"Buffalo, NY",81129,
11,"Newark, NJ",71941,
12,"Louisville, KY",68033,
13,"Albany, NY",62367,
14,"Washington, DC",61112,
15,"San Fancisco, CA",56802,
16,"Providence, RI",50666,
17,"Pittsburgh, PA",49221,
18,"Rochester, NY",48204,
19,"Detroit, MI",45619,
20,"Milwaukee, WI",45246,
21,"Cleveland, OH",43417,
22,"Charleston, SC",40522,
23,"New Haven, CT",39267,
24,"Troy, NY",39235,
25,"Richmond, VA",37910,
